Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
"1, 2, 3, 4 pattes",Bravi Soledad,Ecole des loisirs,Bravi,Soledad
"1,2,3 banquise",Brière Haquet Alice,MeMo,Brière,Haquet Alice
"1,2,3 petits chats qui savaient compter jusqu'à 3",Van Zeveren Michel,Ecole des loisirs,Van,Zeveren Michel
"1,2,3,Gym !",Crozon Alain,Les Grandes Personnes,Crozon,Alain
"1,2,3,partons !",Chedru Delphine,Hélium,Chedru,Delphine
"1,2,3… comptines",Collectif,ERES,Collectif,
10 contes d'Afrique,Mbodj Souleymane,Milan,Mbodj,Souleymane
10 contes de fantômes,Cassabois Jacques,Hachette,Cassabois,Jacques
10 contes de Turquie,Uzunoglu Adelheid,Flammarion,Uzunoglu,Adelheid
10 nouvelles fantastiques,Grousset Alain,Flammarion jeunesse,Grousset,Alain
10 petits doigts,Mounié Didier,Rouergue,Mounié,Didier
10 p'tits pingouins,Fromental Jean-Luc,Hélium,Fromental,Jean-Luc
10 tableaux et un ballon rouge,Sellier Marie,Nathan,Sellier,Marie
100 merveilleuses histoires du Père Castor,Collectif,Flammarion,Collectif,
100 poèmes du monde pour les enfants,Orizet Jean,Cherche-midi,Orizet,Jean
100 poèmes pour les enfants de 3 à 6 ans,Renault Jean,Nathan,Renault,Jean
101 poèmes pour les petits,Collectif,Bayard jeunesse,Collectif,
"12 histoires de liberté, égalité, fraternité",Collectif,Escabelle,Collectif,
13 contes et récits d'Halloween,Rachmuhl Françoise,Flammarion,Rachmuhl,Françoise
14 contes de Russie,Giraud Robert,Flammarion,Giraud,Robert
17 contes d'Algérie,Beamri R,Castor poche,Beamri,R
17 récits de pirates et de corsaires,Coppin Brigitte,Flammarion,Coppin,Brigitte
19 fables de renard,Muzi Jean,Castor poche,Muzi,Jean
1er c'est canard (le),Douzou Olivier,Rouergue,Douzou,Olivier
2 Bleu,Carter David A.,Gallimard jeunesse,Carter,David A.
2 petites mains et 2 petits pieds,Fox Mem,Gallimard jeunesse,Fox,Mem
20 contes des pourquoi,Piquemal Michel,SEDRAP jeunesse,Piquemal,Michel
202 contes de Nasreddin Hodja,Collectif,Galeri Minyatür,Collectif,
23 récits et légendes de vikings,Solet Bertrand,Flammarion,Solet,Bertrand
27 poules sur un mur,Dedieu Thierry,Seuil,Dedieu,Thierry
3 contes cruels,Barrier Perceval,Ecole des loisirs,Barrier,Perceval
3 petites culottes,Letuffe Anne,Poisson soluble,Letuffe,Anne
31 boîtes,Boyer Cécile,Albin Michel jeunesse,Boyer,Cécile
365 contes des pourquoi et des comment,Bloch Muriel,Gallimard jeunesse,Bloch,Muriel
365 contes en ville,Bloch Muriel,Gallimard Jeunesse,Bloch,Muriel
365 pingouins,Fromental Jean-Luc,Naïve,Fromental,Jean-Luc
4 saisons de Loup (Les),Jalbert Philippe,Belin,Jalbert,Philippe
40 petits contes,Rettich Maget et Ralph,Bayard,Rettich,Maget et Ralph
50 ans de littérature pour la jeunesse,Collectif,Cahiers du CRILJ n° 7,Collectif,
60 poésies et comptines,Pomme d'api,Bayard,Pomme,d'api
66 haïkus,Buson,Verdier,Buson,
800 histoires drôles,Touquet Marie,Hachette,Touquet,Marie
9 contes de Grimm,Grimm Jacob et Wilhelm,Flammarion,Grimm,Jacob et Wilhelm
999 têtards,Kimura Ken,Autrement,Kimura,Ken
A (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
A bit lost,Haughton Chris,Walker Book,Haughton,Chris
A calicochon,Browne Anthony,Ecole des Loisirs,Browne,Anthony
A chacun ses affaires,Gutman claude,Gallimard jeunesse,Gutman,claude
A cheval sur la lune,Chaty Guy,Soc et foc,Chaty,Guy
"A la lettre, un alphabet poétique",Friot Bernard,Milan,Friot,Bernard
A la pêche à la sardine,Mounié Didier,Rouergue,Mounié,Didier
A la volette,Bonbon Cécile,Didier jeunesse,Bonbon,Cécile
A l'aube du buisson,Siméon Jean Pierre,Cheyne,Siméon,Jean Pierre
A l'étranger,Schubiger Jürg,La joie de lire,Schubiger,Jürg
A l'intérieur des méchants,Perrin Clotilde,Seuil jeunesse,Perrin,Clotilde
A l'ombre de l'olivier,Favret Hafida,Didier jeunesse,Favret,Hafida
A l'ombre du flamboyant,Grosléziat Chantal,Didier jeunesse,Grosléziat,Chantal
A moitié,Friot Bernard,De la Martinière,Friot,Bernard
A mots croisés,Friot Bernard,Milan,Friot,Bernard
A mots gourmands,Jean Georges,Donner à voir,Jean,Georges
A poèmes ouverts,Siméon Jean Pierre,Seuil,Siméon,Jean Pierre
A quai,Sara,Seuil jeunesse,Sara,
A qui est ce vélo ?,Jun Takabataka,Picquier jeunesse,Jun,Takabataka
A quoi rêvent les vaches ?,Le Touzé Anne Isabelle,Didier jeunesse,Le,Touzé Anne Isabelle
À quoi sert la neige ?,Khoury-Ghata Vénus,Le cherche midi,Khoury-Ghata,Vénus
A table,Louchard Antonin,Thierry Magnier,Louchard,Antonin
A tout petits pas,James Simon,Gautier-Languereau,James,Simon
"A trois, on a moins froid",Devernois Elsa,Ecole des Loisirs,Devernois,Elsa
Aagun,Dedieu Thierry,Seuil,Dedieu,Thierry
ABC bestiaire,Coat Anik,Autrement,Coat,Anik
ABC bêtes,Beigel Christine,Gautier-Languereau,Beigel,Christine
ABCD,Galeron Henri,Les Grandes Personnes,Galeron,Henri
Abécédaire des émotions (l'),Moniz Madalena,Hélium,Moniz,Madalena
"Aboie, Georges !",Feiffer Jules,Ecole des Loisirs,Feiffer,Jules
Abominable Monsieur Schteuple (l'),Kogjan Grégoire,Atelier du poisson soluble,Kogjan,Grégoire
Abou-az-Zoulouf et le loup,Boutros Al-maari,Editions du Jasmin,Boutros,Al-maari
Abracadanoir,Laurent Nathalie,Ecole des Loisirs,Laurent,Nathalie
Abris,Houdart Emmanuelle,Les fourmis rouges,Houdart,Emmanuelle
Achile et la rivière,Adam Olivier,Actes sud junior,Adam,Olivier
"Ada, la grincheuse en tutu",Gravel Elise,La Pastèque,Gravel,Elise
Adélaïde,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
"Adéwi Komé, la nuit",Guyennon Duchêne Claudie,Grandir,Guyennon,Duchêne Claudie
Adieu Chaussette,Chaud Benjamin,Hélium,Chaud,Benjamin
Adieu croquettes ! Adieu caresses !,Corenblit Rachel,Rouergue,Corenblit,Rachel
Adultes ne font jamais ça (les),Cali Davide,Hélium,Cali,Davide
Affaires de Monsieur le Chat (Les),Rodari Gianni,La joie de lire,Rodari,Gianni
Afrique de Zigomar (l'),Corentin Philippe,Ecole des Loisirs,Corentin,Philippe
"Afrique, petit Chaka…(l')",Sellier Marie,Réunion musées nationaux,Sellier,Marie
Agneau qui ne voulait pas être un mouton (l'),Jean Didier,Syros/Amnesty,Jean,Didier
Ah !,Goffin Josse,Réunion musées nationaux,Goffin,Josse
Ah ! Ernesto,Duras Marguerite,Thierry Magnier,Duras,Marguerite
Ah ! Quelle soupe les amis !,Serres Alain,Rue du monde,Serres,Alain
"Aïko, la jeune fille à l'éventail",Vatinel Pascal,Actes Sud junior,Vatinel,Pascal
Air de fête,Morgan,Gautier-Languereau,Morgan,
Akiko la courageuse,Guilloppé Antoine,Picquier jeunesse,Guilloppé,Antoine
Akiko la curieuse,Guilloppé Antoine,Picquier jeunesse,Guilloppé,Antoine
Akiko l'amoureuse,Guilloppé Antoine,Picquier jeunesse,Guilloppé,Antoine
"Akli, prince du désert",Norac Carl,Ecole des Loisirs,Norac,Carl
Alboum,Bruel Christian,Etre,Bruel,Christian
"Album, que fais-tu, que dis-tu ?",CRILJ,,CRILJ,
"Album, une littérature pour tous les publics (L')",Collectif,ANLCI,Collectif,
Albums,Van der Linden Sophie,De facto,Van,der Linden Sophie
"Aldo, un garçon tout en finesse",Fred L,Les papareils,Fred,L
Alice au pays des merveilles,Carroll Lewis,Folio junior,Carroll,Lewis
Alice la culbute,Rodari Gianni,La joie de lire,Rodari,Gianni
Alice sourit,Willis Jeanne,Gallimard jeunesse,Willis,Jeanne
Aller-retour,Chedru Delphine,De la Martinière jeunesse,Chedru,Delphine
Alors ?,Crowther Kitty,Ecole des Loisirs,Crowther,Kitty
"Alors, ça mord ?",Gourounas Jean,Atelier du poisson soluble,Gourounas,Jean
