Livres,No Copies
"1, 2, 3, 4 pattes",7
"1,2,3 banquise",26
"1,2,3 petits chats qui savaient compter jusqu'à 3",12
"1,2,3,Gym !",43
"1,2,3,partons !",28
"1,2,3… comptines",26
10 contes d'Afrique,33
10 contes de fantômes,50
10 contes de Turquie,31
10 nouvelles fantastiques,43
10 petits doigts,49
10 p'tits pingouins,8
10 tableaux et un ballon rouge,22
100 merveilleuses histoires du Père Castor,16
100 poèmes du monde pour les enfants,24
100 poèmes pour les enfants de 3 à 6 ans,1
101 poèmes pour les petits,38
"12 histoires de liberté, égalité, fraternité",25
13 contes et récits d'Halloween,20
14 contes de Russie,22
17 contes d'Algérie,5
17 récits de pirates et de corsaires,46
19 fables de renard,5
1er c'est canard (le),34
2 Bleu,1
2 petites mains et 2 petits pieds,37
20 contes des pourquoi,33
202 contes de Nasreddin Hodja,29
23 récits et légendes de vikings,29
27 poules sur un mur,20
3 contes cruels,10
3 petites culottes,14
31 boîtes,37
365 contes des pourquoi et des comment,27
365 contes en ville,26
365 pingouins,5
4 saisons de Loup (Les),27
40 petits contes,11
50 ans de littérature pour la jeunesse,21
60 poésies et comptines,25
66 haïkus,2
800 histoires drôles,11
9 contes de Grimm,17
999 têtards,34
A (le),18
A bit lost,43
A calicochon,6
A chacun ses affaires,50
A cheval sur la lune,13
"A la lettre, un alphabet poétique",6
A la pêche à la sardine,38
A la volette,26
A l'aube du buisson,47
A l'étranger,36
A l'intérieur des méchants,19
A l'ombre de l'olivier,12
A l'ombre du flamboyant,38
A moitié,10
A mots croisés,14
A mots gourmands,3
A poèmes ouverts,8
A quai,37
A qui est ce vélo ?,7
A quoi rêvent les vaches ?,1
À quoi sert la neige ?,37
A table,5
A tout petits pas,36
"A trois, on a moins froid",47
Aagun,35
ABC bestiaire,1
ABC bêtes,45
ABCD,48
Abécédaire des émotions (l'),26
"Aboie, Georges !",16
Abominable Monsieur Schteuple (l'),13
Abou-az-Zoulouf et le loup,40
Abracadanoir,46
Abris,17
Achile et la rivière,35
"Ada, la grincheuse en tutu",25
Adélaïde,12
"Adéwi Komé, la nuit",26
Adieu Chaussette,27
Adieu croquettes ! Adieu caresses !,40
Adultes ne font jamais ça (les),39
Affaires de Monsieur le Chat (Les),35
Afrique de Zigomar (l'),46
"Afrique, petit Chaka…(l')",18
Agneau qui ne voulait pas être un mouton (l'),8
Ah !,37
Ah ! Ernesto,49
Ah ! Quelle soupe les amis !,27
"Aïko, la jeune fille à l'éventail",18
Air de fête,11
Akiko la courageuse,18
Akiko la curieuse,29
Akiko l'amoureuse,4
"Akli, prince du désert",39
Alboum,17
"Album, que fais-tu, que dis-tu ?",46
"Album, une littérature pour tous les publics (L')",47
Albums,32
