Editeur,first_name
A pas de loups,A pas de loups
A2MIMO,A2MIMO
ABC Melody,ABC Melody
ACCES,ACCES
Actes Sud,Actes Sud
Actes sud junior,Actes sud junior
Aedis,Aedis
Albin Michel,Albin Michel
Albin Michel jeunesse,Albin Michel jeunesse
Aldéran édition,Aldéran édition
Alice,Alice
Alice jeunesse,Alice jeunesse
Alkindi,Alkindi
Almaterra,Almaterra
Alyssa,Alyssa
Amaterra,Amaterra
AND,AND
ANLCI,ANLCI
Après la lune jeunesse,Après la lune jeunesse
Assoc fr pour la lecture,Assoc fr pour la lecture
Assoc. Paris-musées,Assoc. Paris-musées
Association Afflux,Association Afflux
Atelier du poisson soluble,Atelier du poisson soluble
Atelier du poissson soluble,Atelier du poissson soluble
Atelier du Scribe,Atelier du Scribe
Auto production,Auto production
Autrement,Autrement
Autrement jeunesse,Autrement jeunesse
Balivernes,Balivernes
Balzane,Balzane
Bayard,Bayard
Bayard jeunesse,Bayard jeunesse
Belin,Belin
Belin jeunesse,Belin jeunesse
Belize,Belize
Benoît Jacques,Benoît Jacques
Benoît Jacques Books,Benoît Jacques Books
bib.municip Paris,bib.municip Paris
Bibliothèque de Toulouse,Bibliothèque de Toulouse
Bilboquet,Bilboquet
Biscoto,Biscoto
BNF,BNF
Bruno Doucey,Bruno Doucey
Bulles de savon,Bulles de savon
Cadex,Cadex
Cahiers du CRILJ n° 10,Cahiers du CRILJ n° 10
Cahiers du CRILJ n° 3,Cahiers du CRILJ n° 3
Cahiers du CRILJ n° 4,Cahiers du CRILJ n° 4
Cahiers du CRILJ n° 5,Cahiers du CRILJ n° 5
Cahiers du CRILJ n° 7,Cahiers du CRILJ n° 7
Cahiers du CRILJ n°8,Cahiers du CRILJ n°8
Calmann-Lévy,Calmann-Lévy
Cambourakis,Cambourakis
Casterman,Casterman
Castor benjamin,Castor benjamin
Castor poche,Castor poche
Catalpas,Catalpas
CCMDE,CCMDE
Centre Georges Pompidou,Centre Georges Pompidou
Cercle de la librairie,Cercle de la librairie
Chan-Ok,Chan-Ok
Cherche-midi,Cherche-midi
Cheyne,Cheyne
Cipango,Cipango
Circé,Circé
Circonflexe,Circonflexe
CLAP Midi-Pyrénées,CLAP Midi-Pyrénées
Compagnie créative,Compagnie créative
Cornélius,Cornélius
Corps puce,Corps puce
Courtes et longues,Courtes et longues
Dapper,Dapper
De facto,De facto
De la Martinière,De la Martinière
De la Martinière jeunesse,De la Martinière jeunesse
Des Eléphants,Des Eléphants
Des Idées et des Hommes,Des Idées et des Hommes
Didier,Didier
Didier jeunesse,Didier jeunesse
Dominique et cie,Dominique et cie
Donner à voir,Donner à voir
Duculot Casterman,Duculot Casterman
Ecole Centre Montauban,Ecole Centre Montauban
Ecole des loisirs,Ecole des loisirs
Ed Corps Puce,Ed Corps Puce
Ed Quart monde,Ed Quart monde
Ed. des Elephants,Ed. des Elephants
Ed. des Elephants/Amnesty,Ed. des Elephants/Amnesty
Ed. du Jasmin,Ed. du Jasmin
Edition des Monts,Edition des Monts
Editions de la Balle,Editions de la Balle
Editions du Jasmin,Editions du Jasmin
Education Nationale,Education Nationale
Elan vert,Elan vert
Encore une fois,Encore une fois
ERES,ERES
Escabelle,Escabelle
Esperluète,Esperluète
Etre,Etre
Eyrolles,Eyrolles
Flammarion,Flammarion
Flammarion jeunesse,Flammarion jeunesse
FLBLB,FLBLB
Fleurus,Fleurus
Flies France,Flies France
FOL de l'Ardèche,FOL de l'Ardèche
Folio junior,Folio junior
Folle avoine,Folle avoine
Fond. BNP,Fond. BNP
France Loisirs,France Loisirs
Frimousse,Frimousse
GAEL,GAEL
Galeri Minyatür,Galeri Minyatür
Gallimard,Gallimard
Gallimard jeunesse,Gallimard jeunesse
Gautier-Languereau,Gautier-Languereau
Grandir,Grandir
Grasset,Grasset
Grasset jeunesse,Grasset jeunesse
Gros textes,Gros textes
Gründ,Gründ
Gulf Stream,Gulf Stream
Hachette,Hachette
Hachette jeunesse,Hachette jeunesse
Hatier,Hatier
Hatier jeunesse,Hatier jeunesse
Hatier poche,Hatier poche
Helium,Helium
Hélium,Hélium
Hoëbeke,Hoëbeke
Hong Fei,Hong Fei
Hongfei,Hongfei
Il était deux fois,Il était deux fois
Jean-Pierre Delarge,Jean-Pierre Delarge
Kalandraka,Kalandraka
Kate'art,Kate'art
Kid Pocket,Kid Pocket
Kilowatt,Kilowatt
Kimane,Kimane
Krom Sakamapheap,Krom Sakamapheap
L'agrume,L'agrume
L'art à la page,L'art à la page
L'Edune,L'Edune
L'élan vert,L'élan vert
L'Harmattan,L'Harmattan
L'Hydre,L'Hydre
L'idée bleue,L'idée bleue
L'iroli,L'iroli
La Bagnole,La Bagnole
La cabane sur le chien,La cabane sur le chien
La compagnie Créative,La compagnie Créative
La Découverte poche,La Découverte poche
La joie de lire,La joie de lire
La joie par les livres,La joie par les livres
La maison est en carton,La maison est en carton
La Martinière,La Martinière
La Palissade,La Palissade
La Pastèque,La Pastèque
La Renarde rouge,La Renarde rouge
La ville brûle,La ville brûle
Larousse,Larousse
Le baron perché,Le baron perché
Le cherche midi,Le cherche midi
Le Dé bleu,Le Dé bleu
Le Farfadet bleu,Le Farfadet bleu
Le Genevrier,Le Genevrier
Le Griffon bleu,Le Griffon bleu
Le Jasmin,Le Jasmin
Le Pommier,Le Pommier
Le port a jauni,Le port a jauni
Le Rocher,Le Rocher
Le Sablier éditeur,Le Sablier éditeur
Le Sorbier,Le Sorbier
Le Sorbier/Amnesty,Le Sorbier/Amnesty
Le Trou de nez,Le Trou de nez
Le vengeur masqué,Le vengeur masqué
Les 400 coups,Les 400 coups
Les Arènes,Les Arènes
Les Cahiers de la Charte,Les Cahiers de la Charte
les éditions du mouton cerise,les éditions du mouton cerise
Les fourmis rouges,Les fourmis rouges
Les Grandes Personnes,Les Grandes Personnes
Les Grands Personnes,Les Grands Personnes
Les p'tits bérets,Les p'tits bérets
Les papareils,Les papareils
Lirabelle,Lirabelle
Lirabelle/Amnesty,Lirabelle/Amnesty
Lis avec moi,Lis avec moi
Lito,Lito
Little Urban,Little Urban
Lo Païs d'Enfance,Lo Païs d'Enfance
Magnard,Magnard
Magnard jeunesse,Magnard jeunesse
Mango,Mango
Mango jeunesse,Mango jeunesse
Margot,Margot
Marsam,Marsam
MeMo,MeMo
Mic-Mac,Mic-Mac
Michalon,Michalon
Michel Lafon,Michel Lafon
Mijade,Mijade
Mila,Mila
Mila éditions,Mila éditions
Milan,Milan
Milan éducation,Milan éducation
Milan jeunesse,Milan jeunesse
Milan poche,Milan poche
Millefeuilles,Millefeuilles
Minedition,Minedition
Mini Syros,Mini Syros
Montreuil,Montreuil
MØtus,MØtus
Mouton cerise,Mouton cerise
Naïve,Naïve
Nathan,Nathan
Nathan jeunesse,Nathan jeunesse
Nord-Sud,Nord-Sud
Notari,Notari
Nuinui,Nuinui
OQO éditions,OQO éditions
Oskar,Oskar
Oskar jeunesse,Oskar jeunesse
Où sont les enfants ?,Où sont les enfants ?
P'tit cairn,P'tit cairn
P'tit Glénat,P'tit Glénat
Palette,Palette
Paquet éditions,Paquet éditions
Paris Bibliothèques,Paris Bibliothèques
Paris Musées,Paris Musées
Pastel,Pastel
PEMF,PEMF
PEMF ados,PEMF ados
Penguin books,Penguin books
Père Fouettard,Père Fouettard
Petit à petit,Petit à petit
Picquier jeunesse,Picquier jeunesse
Pluie d'étoiles,Pluie d'étoiles
Pluie d’étoiles,Pluie d’étoiles
Plume d'Ocris,Plume d'Ocris
Plume de carotte,Plume de carotte
Poche,Poche
Pocket,Pocket
Pocket jeunesse,Pocket jeunesse
Pocket junior,Pocket junior
Pockett junior,Pockett junior
Point de suspension,Point de suspension
Points de Suspension,Points de Suspension
Poisson soluble,Poisson soluble
Pourquoi pas,Pourquoi pas
Présence production,Présence production
Privat,Privat
Publisud,Publisud
Quart monde,Quart monde
Quatre fleuves,Quatre fleuves
Québec,Québec
Rageot,Rageot
Réciproques,Réciproques
Réunion des musées nationaux,Réunion des musées nationaux
Réunion musées nationaux,Réunion musées nationaux
Rêves bleus,Rêves bleus
Ricochet,Ricochet
Rivages,Rivages
Robert Laffont,Robert Laffont
Rocher,Rocher
Rouegue,Rouegue
Rouergue,Rouergue
Rouge safran,Rouge safran
Rue du monde,Rue du monde
Ruisseaux d'Afrique,Ruisseaux d'Afrique
Saltimbanque,Saltimbanque
Sarbacane,Sarbacane
Sarbacane/Amnesty,Sarbacane/Amnesty
SEDRAP,SEDRAP
SEDRAP jeunesse,SEDRAP jeunesse
Seghers,Seghers
Seghers jeune bilingue,Seghers jeune bilingue
Seuil,Seuil
Seuil jeunesse,Seuil jeunesse
Soc et foc,Soc et foc
Sorbier,Sorbier
Souchon-Garrigue Hélène,Souchon-Garrigue Hélène
Stock,Stock
Syros,Syros
Syros Jeunesse,Syros Jeunesse
Syros/Amnesty,Syros/Amnesty
Table ronde,Table ronde
Talents hauts,Talents hauts
Tapori,Tapori
Thierry Magnier,Thierry Magnier
Tourbillon,Tourbillon
Touret,Touret
Usborne,Usborne
Vents d'ailleurs,Vents d'ailleurs
Verdier,Verdier
Versant Sud,Versant Sud
Vigot,Vigot
Vilo jeunesse,Vilo jeunesse
Vives voix,Vives voix
Walker Book,Walker Book
Yanbow al Kitab,Yanbow al Kitab
Yomad,Yomad
Zone J.,Zone J.
Zorba,Zorba
